project,url,sha
KinjalDas-Inventory-Management-System-Django-909bd78,https://github.com/KinjalDas/Inventory-Management-System-Django,909bd78
Kirtimaanwani-Travel-package-purchase-prediction-d53e013,https://github.com/Kirtimaanwani/Travel-package-purchase-prediction,d53e013
LAIA-Gen-LAIA-0985db6,https://github.com/LAIA-Gen/LAIA,0985db6
LSDOlab-lsdo_acoustics-095c95a,https://github.com/LSDOlab/lsdo_acoustics,095c95a
LUMC-kPAL-80549eb,https://github.com/LUMC/kPAL,80549eb
LexPredict-text-extraction-system-fa83540,https://github.com/LexPredict/text-extraction-system,fa83540
Lexpedite-clean-4f260cc,https://github.com/Lexpedite/clean,4f260cc
LiberAI-NSpM-28d6179,https://github.com/LiberAI/NSpM,28d6179
Lifelong-ML-LPG-FTW-4a87377,https://github.com/Lifelong-ML/LPG-FTW,4a87377
Linguistics-DTU-DTU_7th_Sem_Project-72f85fb,https://github.com/Linguistics-DTU/DTU_7th_Sem_Project,72f85fb
LiquidFun-Airway-fd32593,https://github.com/LiquidFun/Airway,fd32593
Liutos-fledgling-0a24501,https://github.com/Liutos/fledgling,0a24501
LoicSteve-pytest-tip-tricks-e1980a6,https://github.com/LoicSteve/pytest-tip-tricks,e1980a6
LonamiWebs-Telethon-946f803,https://github.com/LonamiWebs/Telethon,946f803
M0r13n-pyais-1442703,https://github.com/M0r13n/pyais,1442703
MD-Studio-MDStudio-03c163b,https://github.com/MD-Studio/MDStudio,03c163b
MICA-MNI-z-brains-f3b1784,https://github.com/MICA-MNI/z-brains,f3b1784
MOV-AI-data-access-layer-fffd51b,https://github.com/MOV-AI/data-access-layer,fffd51b
MPIBGC-TEE-bgc_md2-138aea4,https://github.com/MPIBGC-TEE/bgc_md2,138aea4
MRCIEU-opengwas-api-f4d9423,https://github.com/MRCIEU/opengwas-api,f4d9423
MacHu-GWU-Dev-Exp-Share-71fd5f7,https://github.com/MacHu-GWU/Dev-Exp-Share,71fd5f7
MacHu-GWU-configirl-project-7710587,https://github.com/MacHu-GWU/configirl-project,7710587
MarcSkovMadsen-awesome-analytics-apps-f370cd5,https://github.com/MarcSkovMadsen/awesome-analytics-apps,f370cd5
MarcSkovMadsen-awesome-streamlit-58b3d5c,https://github.com/MarcSkovMadsen/awesome-streamlit,58b3d5c
Marcus9512-Recreation-of-U-Net-Convolutional-Networks-for-Biomedical-Image-Segmentation--e656ad1,https://github.com/Marcus9512/Recreation-of-U-Net-Convolutional-Networks-for-Biomedical-Image-Segmentation-,e656ad1
MarkGodwin-tplink-omada-api-db5aba4,https://github.com/MarkGodwin/tplink-omada-api,db5aba4
MarketSquare-webdrivermanager-0eade15,https://github.com/MarketSquare/webdrivermanager,0eade15
MarkusHackspacher-pyLottoSimu-034b1c8,https://github.com/MarkusHackspacher/pyLottoSimu,034b1c8
Marley-Mulvin-Broome-JapaneseFrequencyProcessor-58443a6,https://github.com/Marley-Mulvin-Broome/JapaneseFrequencyProcessor,58443a6
Martin-Seysen-mmgroup-8c20bb3,https://github.com/Martin-Seysen/mmgroup,8c20bb3
